Teams,Record,Total Points,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
Jake,6-1,274,W,W,W,L,W,W,W
Paul J,5-2,400,W,L,W,W,W,W,L
Scott,4-3,234,L,W,W,W,L,L,W
Eric,3-4,252,L,L,L,W,L,W,W
Max,3-4,239,W,L,W,L,L,W,L
Tone,3-4,132,L,W,L,W,W,L,L
Paul N,2-5,147,L,L,L,L,W,L,W
Devin,2-5,6,W,W,L,L,L,L,L
https://www.fantasizr.com/league/5285065287794688,,,,,,,,,
,,,,,,,,,
Paul J,,,Cle/Mia,Mia/Hou,Cle/Mia,Cle/Mia,Cle/Buf,Cle/Mia,Cle/Hou
Max,,,NYG/NE,NYG/NE,NYG/CIN,NYG/CIN,DEN/CIN,NYG/CIN,NYG/CIn
Jake,,,NO/Chi,NO/Jac,NO/BAL,NO/Jac,NO/BAL,NYJ/Dal,NO/Jax
Devin,,,Ind/Atl,Ind/TB,IND/Ari,ATL/TB,Ari/TB,Atl/Ari,Atl/Ari
Eric,,,Ten/Lar,TEN/SF,TEN/ LAR,Ten/Det,TEN/SF,Ten/SF,Ten/Lar
Scott,,,NYJ/Min,MIN/DAL,NYJ/MIN,Phi/Dal,NYJ/MIN,NYJ/Dal,NYJ/Phi
Paul N,,,LV/GB,Sea/KC,LV/SEA,GB/KC,LV/SEA,LV/KC,LV/Sea
Tone,,,Pit/LAC,Pit/CAR,Car/WSH,Pt/Was,Car/WSH,Pit/Wsh,Pit/Car