ScorelineID,TeamID,DefOp,WeekID,SeasonID,PComp,PAtt,PYds,PTds,Ints,Sack,SYds,Qbr,RYds,RTds,Long,Fumb,FumL,DefTD,Saf,Gefu,Gwd,Bnch,PComPct,NetPYds,TTds,ZPComp,ZPYds,ZTTds,ZTTos,ZInts,ZFumb,ZRYds,ZDefTD,ZSaf,ZGefu,ZGwd,ZBnch,ZOver25,ZFinal,POS,NEG
202506CHI,CHI,WSH,6,2025,17,29,252,1,0,3,-16,37.2,-2,1,55,0,0,0,0,0,0.5,0,58.62,236,2,0,0,0,0,0,0,0,0,0,0,-6,0,0,-6,0,-6
202506WSH,WSH,CHI,6,2025,19,26,211,3,1,3,-6,69.6,52,0,37,2,1,0,0,0,0,0,73.08,205,3,0,0,-5,0,5,8,0,0,0,0,0,0,0,8,13,-5
202506BUF,BUF,ATL,6,2025,15,26,180,2,2,4,-23,18.7,42,0,45,2,0,0,0,0,0,0,57.69,157,2,0,6,0,0,10,8,0,0,0,0,0,0,0,24,24,0
202506ATL,ATL,BUF,6,2025,20,32,250,1,0,2,-17,33.3,6,0,39,0,0,0,0,0,0,0,62.5,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506LAC,LAC,MIA,6,2025,29,38,264,2,0,1,-1,64.7,2,0,42,0,0,0,0,0,0.5,0,76.32,263,2,0,0,0,0,0,0,0,0,0,0,-6,0,0,-6,0,-6
202506MIA,MIA,LAC,6,2025,21,32,205,1,3,2,-9,51.9,4,0,45,0,0,0,0,0,0,0,65.62,196,1,0,6,0,12,15,0,0,0,0,0,0,0,0,33,33,0
202506CLE,CLE,PIT,6,2025,29,52,221,0,0,6,-38,33.6,0,0,24,0,0,0,0,0,0,0,55.77,183,0,0,6,10,0,0,0,0,0,0,0,0,0,10,26,26,0
202506PIT,PIT,CLE,6,2025,21,30,235,2,0,0,0,63.9,1,0,36,0,0,0,0,0,0,0,70,235,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506SEA,SEA,JAX,6,2025,16,27,295,2,0,1,-9,71.7,2,0,61,0,0,0,0,0,0,0,59.26,286,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506JAX,JAX,SEA,6,2025,27,42,258,2,0,7,-44,46.3,9,0,26,0,0,0,0,0,0,0,64.29,214,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202506DAL,DAL,CAR,6,2025,25,34,261,3,0,0,0,90.2,-1,0,45,1,0,0,0,0,0,0,73.53,261,3,0,0,-5,0,0,4,0,0,0,0,0,0,0,-1,4,-5
202506CAR,CAR,DAL,6,2025,17,25,199,3,1,1,-5,52.9,5,0,36,0,0,0,0,0,0.5,0,68,194,3,0,6,-5,0,5,0,0,0,0,0,-6,0,0,0,11,-11
202506NE,NE,NO,6,2025,18,26,261,3,0,1,-1,92.6,28,0,53,1,0,0,0,0,0,0,69.23,260,3,0,0,-5,0,0,4,0,0,0,0,0,0,0,-1,4,-5
202506NO,NO,NE,6,2025,20,26,227,0,0,2,-4,72.1,20,0,53,0,0,0,0,0,0,0,76.92,223,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,10,0
202506DET,DET,KC,6,2025,23,29,203,2,0,1,-4,84.1,7,0,26,0,0,0,0,0,0,0,79.31,199,2,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0
202506KC,KC,DET,6,2025,22,30,257,3,0,3,-14,81.3,32,1,30,1,0,0,0,0,0,0,73.33,243,4,0,0,-10,0,0,4,0,0,0,0,0,0,0,-6,4,-10
202506LAR,LAR,BAL,6,2025,17,26,181,1,0,2,-14,56.7,1,0,30,2,1,0,0,0,0,0,65.38,167,1,0,6,0,0,0,8,0,0,0,0,0,0,0,14,14,0
202506BAL,BAL,LAR,6,2025,21,34,140,0,1,4,-23,40.39,39,0,18,1,1,0,0,0,0,1,61.76,117,0,0,12,10,0,5,4,0,0,0,0,0,35,10,76,76,0
202506SF,SF,TB,6,2025,27,39,347,0,2,6,-51,20.4,13,0,56,1,0,0,0,0,0,0,69.23,296,0,0,0,10,0,10,4,0,0,0,0,0,0,0,24,24,0
202506TB,TB,SF,6,2025,17,23,256,2,0,1,-8,80.6,14,0,45,1,0,0,0,0,0,0,73.91,248,2,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0
202506CIN,CIN,GB,6,2025,29,45,219,2,0,1,-6,68.5,0,0,19,0,0,0,0,0,0,0,64.44,213,2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0
202506GB,GB,CIN,6,2025,19,26,259,1,1,1,-3,82.5,26,0,35,0,0,0,0,0,0,0,73.08,256,1,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0
202506TEN,TEN,LV,6,2025,26,38,222,1,1,6,-62,13.7,0,0,23,2,2,0,0,0,0,0,68.42,160,1,0,6,0,12,5,8,0,0,0,0,0,0,10,41,41,0
202506LV,LV,TEN,6,2025,17,23,174,1,1,2,-16,37.7,-3,0,37,0,0,0,0,0,0,0,73.91,158,1,0,6,0,0,5,0,0,0,0,0,0,0,0,11,11,0
202506DEN,DEN,NYJ,6,2025,19,30,174,1,0,1,-6,37.2,24,0,26,0,0,0,0,0,0,0,63.33,168,1,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0
202506NYJ,NYJ,DEN,6,2025,9,17,45,0,0,9,-55,9,31,0,11,0,0,0,0,0,0,0,52.94,-10,0,0,25,10,0,0,0,0,0,0,0,0,0,10,45,45,0
202506ARI,ARI,IND,6,2025,27,44,320,2,1,2,-8,65.4,19,0,30,0,0,0,0,0,0,0,61.36,312,2,0,-6,0,0,5,0,0,0,0,0,0,0,0,-1,5,-6
202506IND,IND,ARI,6,2025,22,30,212,2,1,1,-7,68,20,1,26,0,0,0,0,0,0,0,73.33,205,3,0,0,-5,0,5,0,0,0,0,0,0,0,0,0,5,-5
202506PHI,PHI,NYG,6,2025,24,33,283,1,1,3,-17,31.4,13,1,36,0,0,0,0,0,0,0,72.73,266,2,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0
202506NYG,NYG,PHI,6,2025,17,26,195,1,0,2,-1,86.54,58,1,35,0,0,0,0,0,0,0,65.38,194,2,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0